Datum	F	G	N	S	V
2022-05-18	Energie|Preis|Wohnungspolitik|Bildung|Organisation des Unterrichtswesens|Bürgerliches Recht|Bergbau|Energie|Handel|Industrie|Öffentliche Finanzen und Haushaltspolitik|Unternehmen und Wettbewerb|Europäische Union|Grenze|Verfassung|Verteidigung|Exekutive|öffentliche Verwaltung|öffentlicher Dienst|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Verkehr|Zivilschutz|Handel|Industrie|Unternehmen und Wettbewerb|Energie|Steuerwesen|Umwelt|Exekutive|Misstrauensantrag	Frau|Gleichbehandlung|Internationale Beziehungen|Völkerrecht|Gesundheit|Hochschulausbildung	Völkerrecht|Bildung|Öffentliche Finanzen und Haushaltspolitik|Organisation des Unterrichtswesens|Europäische Union|Handel|Industrie|Unternehmen und Wettbewerb|Behinderter|Gesundheit|Flüchtling|Exekutive|Forschung und geistiges Eigentum|Wissenschaften|Einkommen|Haushaltskontrolle|Statistik|Verwaltung und Entlohnung des Personals|Verteidigung|Familie|Frau|Gleichbehandlung|Tourismus|Tiermedizin|Tierschutz|Handel|Industrie|Unternehmen und Wettbewerb|Betreuung von Pflegebedürftigen|Gesundheit|Krankenpflege|Gesundheit|Hochschulausbildung|Internationale Beziehungen|Völkerrecht|Familie|Handel|Industrie|Unternehmen und Wettbewerb|Familie|Flüchtling|junger Mensch|Informatik|Information und Informationsverarbeitung|Umwelt|Verkehr|Flüchtling|junger Mensch|Gesundheit|junger Mensch|Sozialpolitik|Frau|Gleichbehandlung|öffentliche Sicherheit|Statistik|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Zivilschutz|Flüchtling|Raumordnung|Tourismus|Sport|Frau|Gleichbehandlung|öffentliche Sicherheit|Statistik|Gesundheit|Zivilschutz	Betreuung von Pflegebedürftigen|Krankenpflege|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Haushaltskontrolle|Verfassung|Hochschulausbildung|direkt gewählte Kammer|Beschäftigung und Arbeitsbedingungen|soziale Sicherheit|Tourismus|Beschäftigung und Arbeitsbedingungen|Betreuung von Pflegebedürftigen|Krankenpflege|Gesundheit|soziale Sicherheit|Altersversorgungssystem|Frau|Gleichbehandlung|Arbeitsrecht|Familie|ausländischer Staatsangehöriger|Verfassung|Tiermedizin|Tierschutz|Altersversorgungssystem|Verkehr|Bildung|Gesundheit|Organisation des Unterrichtswesens|Ausbildungsbeihilfe|Wohnungspolitik|junger Mensch|Betreuung von Pflegebedürftigen|Krankenpflege|Gesundheit|Zivilschutz|Beschäftigung und Arbeitsbedingungen|Betreuung von Pflegebedürftigen|Krankenpflege	Frau|Gleichbehandlung|Internationale Beziehungen|Völkerrecht|Gesundheit|Hochschulausbildung
2022-05-19	Energie|Preis|Sozialpolitik|Steuerwesen|Internationale Beziehungen|Menschenrechte|Religion|Internationale Beziehungen|Öffentliche Finanzen und Haushaltspolitik|Vereinsleben|Versammlungsfreiheit|Energie|Öffentlicher Sektor|Handel|Industrie|Unternehmen und Wettbewerb|Kulturpolitik|Kunst|Trentino-Südtirol|Öffentliche Finanzen und Haushaltspolitik|Sport|Vereinsleben|Versammlungsfreiheit|Energie|Preis|Umwelt|öffentliche Verwaltung|öffentlicher Dienst|Strafrecht|Tiermedizin|Tierschutz|Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb|Europarat|Strafrecht|Energie|Preis|Umwelt|Gesundheit|Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb|Bildung|Organisation des Unterrichtswesens|Verteidigung|Gesundheit|Sport|Zivilschutz|Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb|Europäische Union|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Verkehr|Zivilschutz	Geodäsie|partizipative Demokratie|Wahl|Wohnungspolitik|Behinderter|Familienleistungsausgleich|Gesundheit|Gesundheit|Exekutive|Öffentlicher Sektor|Verwaltungsorganisation|Elektrizitäts- und Kernkraftindustrie|Fernsehen|Hörfunk|Beschäftigung und Arbeitsbedingungen|Arbeitsrecht|Frau|Gleichbehandlung|Gesundheit|Agrarerzeugnisse und Lebensmittel|Europäische Union|Energie|Verfassung|Internationale Beziehungen|Menschenrechte|Völkerrecht|Tiermedizin|Tierschutz|Europäische Union	Elektrizitäts- und Kernkraftindustrie|Europäische Union|Europäische Union|Informatik|Information und Informationsverarbeitung|öffentliche Sicherheit|Telekommunikation	Energie|Handel|Industrie|Umwelt|Unternehmen und Wettbewerb|Familie|Kulturpolitik|Kunst|Öffentliche Finanzen und Haushaltspolitik|Frau|Gleichbehandlung|Menschenrechte|Politik der Zusammenarbeit|Frau|Gleichbehandlung|öffentliche Sicherheit|Land- und Forstwirtschaft, Fischerei|Wasser|Wasserbewirtschaftung|Energie|Handel|Industrie|Unternehmen und Wettbewerb|Verteidigung|Bergbau|Energie|Elektrizitäts- und Kernkraftindustrie|Land- und Forstwirtschaft, Fischerei|Wasser|Wasserbewirtschaftung|Flüchtling|Politik der Zusammenarbeit|Umwelt|Familie|Frau|Gleichbehandlung|Verteidigung|Bauindustrie und öffentliches Bauwesen|Baupolitik|Elektrizitätsindustrie|Umwelt|Zivilschutz|Verteidigung|Bauindustrie und öffentliches Bauwesen|Baupolitik|Energie|Europäische Union	Geodäsie|partizipative Demokratie|Wahl|Wohnungspolitik|Behinderter|Familienleistungsausgleich|Gesundheit|Gesundheit|Exekutive|Öffentlicher Sektor|Verwaltungsorganisation|Elektrizitäts- und Kernkraftindustrie|Fernsehen|Hörfunk|Beschäftigung und Arbeitsbedingungen|Arbeitsrecht|Frau|Gleichbehandlung|Gesundheit|Agrarerzeugnisse und Lebensmittel|Europäische Union|Energie|Verfassung|Internationale Beziehungen|Menschenrechte|Völkerrecht|Tiermedizin|Tierschutz|Europäische Union
2022-06-14	Straßenverkehr|Tiermedizin|Tierschutz|Europarat|Strafrecht|Gesundheit|Wasser|Wasserbewirtschaftung|Bürgerliches Recht|Finanzwesen|Frau|Gleichbehandlung|Statistik|Gesundheit|Wasser|Wasserbewirtschaftung	Bildung|direkt gewählte Kammer|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens|Internationale Beziehungen|Vereinte Nationen|Völkerrecht|Forschung und geistiges Eigentum|Internationale Beziehungen|Umwelt|Wirtschaft|Wissenschaften	Finanzwesen|Wirtschaft|Bürgerliches Recht|Finanzwesen|Frau|Gleichbehandlung|Statistik|Altersversorgungssystem|Forschung und geistiges Eigentum|Kulturpolitik|Kunst|öffentliches Eigentum|Wissenschaften|Bildung|direkt gewählte Kammer|Organisation des Unterrichtswesens|Straßenverkehr|Tiermedizin|Tierschutz|Tourismus|Sozialpolitik|Statistik|Bildung|Gesundheit|junger Mensch|Organisation des Unterrichtswesens|Internationale Beziehungen|Vereinte Nationen|Völkerrecht|Familienleistungsausgleich|Behinderter|Familie|vorschulische Erziehung|Bildung|Gesundheit|junger Mensch|Organisation des Unterrichtswesens|Forschung und geistiges Eigentum|Internationale Beziehungen|Umwelt|Wirtschaft|Wissenschaften|Handel|Haushaltskontrolle|Industrie|Politische Partei|Unternehmen und Wettbewerb|junger Mensch|Opferhilfe|Strafrecht|Öffentliche Finanzen und Haushaltspolitik|Politische Partei|Vereinsleben|Versammlungsfreiheit	Finanzwesen|Öffentliche Finanzen und Haushaltspolitik|Tourismus|Wirtschaft|junger Mensch|Verkehr|Preis|Sozialpolitik|Beschäftigung und Arbeitsbedingungen|Tourismus|Beschäftigung und Arbeitsbedingungen|junger Mensch|Tourismus|Bürgerliches Recht|Finanzwesen|Frau|Gleichbehandlung|Statistik|Bildung|direkt gewählte Kammer|Organisation des Unterrichtswesens|Altersversorgungssystem|Betreuung von Pflegebedürftigen|Krankenpflege|soziale Sicherheit|Sozialpolitik|Verfassung|Wohnungspolitik|Frau|Gleichbehandlung|öffentliche Sicherheit|Opferhilfe|Gesundheit|Familienleistungsausgleich|Arbeitsrecht|Behinderter|soziale Sicherheit|Internationale Beziehungen|Vereinte Nationen|Völkerrecht|Altersversorgungssystem|Opferhilfe|Frau|Gleichbehandlung|Handel|Industrie|Unternehmen und Wettbewerb|Betreuung von Pflegebedürftigen|Krankenpflege|Schienentransport|Umwelt|Bildung|Informatik|Information und Informationsverarbeitung|öffentliche Verwaltung|öffentlicher Dienst|Organisation des Unterrichtswesens|Familie|vorschulische Erziehung	Bildung|direkt gewählte Kammer|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens|Internationale Beziehungen|Vereinte Nationen|Völkerrecht|Forschung und geistiges Eigentum|Internationale Beziehungen|Umwelt|Wirtschaft|Wissenschaften
2022-06-15	Straßenverkehr|Bildung|Gesundheit|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens|junger Mensch|Strafrecht|Tabak|Europäische Union|Energie|Umwelt|Europäische Union|Preis|Währungsbeziehungen|Exekutive|Misstrauensantrag	Gesundheit|Zivilschutz|Betreuung von Pflegebedürftigen|Gesundheit|Krankenpflege|Betreuung von Pflegebedürftigen|Einkommen|Gliedstaat|Krankenpflege|Verwaltung und Entlohnung des Personals|Finanzausgleich|Zivilschutz|Betreuung von Pflegebedürftigen|Einkommen|Gliedstaat|Krankenpflege|Verwaltung und Entlohnung des Personals|Betreuung von Pflegebedürftigen|Krankenpflege|Gesundheit|Preis|Sozialpolitik|Berufsverband|Buchprüfung|Handel|Industrie|Unternehmen und Wettbewerb|öffentliche Verwaltung|öffentlicher Dienst|Gliedstaat|Öffentliche Finanzen und Haushaltspolitik|Umwelt|Behinderter|Statistik	Wirtschaft|Bauindustrie und öffentliches Bauwesen|Baupolitik|Energie|Föderalismus|Umwelt	Energie|Frau|Gleichbehandlung|Internationale Beziehungen|Menschenrechte|Energie|Preis|Sozialpolitik|Arbeitsrecht|Familie|Verteidigung|Neutralität|Verteidigung|Beschäftigung und Arbeitsbedingungen|junger Mensch|Energie|Preis|Umwelt|Energie|Preis|Sozialpolitik|Umwelt|Bildung|Gesundheit|Organisation des Unterrichtswesens	Gesundheit|Zivilschutz|Betreuung von Pflegebedürftigen|Gesundheit|Krankenpflege|Betreuung von Pflegebedürftigen|Einkommen|Gliedstaat|Krankenpflege|Verwaltung und Entlohnung des Personals|Finanzausgleich|Zivilschutz|Betreuung von Pflegebedürftigen|Einkommen|Gliedstaat|Krankenpflege|Verwaltung und Entlohnung des Personals|Betreuung von Pflegebedürftigen|Krankenpflege|Gesundheit|Preis|Sozialpolitik|Berufsverband|Buchprüfung|Handel|Industrie|Unternehmen und Wettbewerb|öffentliche Verwaltung|öffentlicher Dienst|Gliedstaat|Öffentliche Finanzen und Haushaltspolitik|Umwelt|Behinderter|Statistik
2022-06-23	Altersversorgungssystem|Beschäftigung und Arbeitsbedingungen|Energie|Internationale Beziehungen|Preis|Sozialpolitik|Steuerwesen|Wirtschaft|Gesundheit|Altersversorgungssystem|Beschäftigung und Arbeitsbedingungen|Energie|Internationale Beziehungen|Preis|Sozialpolitik|Steuerwesen|Wirtschaft|Gesundheit|Zivilschutz|Energie|Internationale Beziehungen|Preis|Sozialpolitik|Steuerwesen|Wirtschaft|Europäische Union|Internationale Beziehungen|Energie|Preis|Sozialpolitik|Steuerwesen	Familienleistungsausgleich|Steuerwesen|Energie|Öffentliche Finanzen und Haushaltspolitik|Wirtschaft|öffentliche Sicherheit|Energie|Verfassung|soziale Sicherheit|Steuerwesen|Energie|Gesundheit	öffentliche Sicherheit|Steuerwesen	Handel|Industrie|Unternehmen und Wettbewerb|öffentliche Sicherheit|Gliedstaat|Öffentliche Finanzen und Haushaltspolitik|internationales Arbeitsrecht|Agrarerzeugnisse und Lebensmittel|Preis|Steuerwesen|Arbeitslosenversicherung|Energie|Preis|Steuerwesen	Familienleistungsausgleich|Steuerwesen|Energie|Öffentliche Finanzen und Haushaltspolitik|Wirtschaft|öffentliche Sicherheit|Energie|Verfassung|soziale Sicherheit|Steuerwesen|Energie|Gesundheit
2022-07-06	Gesundheit|Statistik|Frau|Gleichbehandlung|Frau|Gesundheit|Gleichbehandlung|Strafrecht|öffentliche Sicherheit|Presse|Gesundheit|öffentliche Verwaltung|öffentlicher Dienst|Strafrecht|ausländischer Staatsangehöriger|Flüchtling|öffentliche Sicherheit|Energie|Preis|Sozialpolitik|Steuerwesen|Handel|Industrie|Unternehmen und Wettbewerb|Energie	Exekutive|Öffentlicher Sektor|Verwaltungsorganisation|Behinderter|Bildung|Organisation des Unterrichtswesens	ethnische Gruppe|Gesundheit|Frau|Gleichbehandlung|öffentliche Sicherheit|Opferhilfe|Frau|Gleichbehandlung|öffentliche Sicherheit|Opferhilfe|Bildung|Organisation des Unterrichtswesens|Sozialpolitik|Behinderter|Betreuung von Pflegebedürftigen|Krankenpflege|Behinderter|Betreuung von Pflegebedürftigen|Krankenpflege|Betreuung von Pflegebedürftigen|Krankenpflege|Bürgerliches Recht|Schienentransport|Bildung|Flüchtling|Informatik|Information und Informationsverarbeitung|Organisation des Unterrichtswesens|Bürgerliches Recht|Behinderter|Schienentransport|ausländischer Staatsangehöriger|Energie|ausländischer Staatsangehöriger|Beschäftigung und Arbeitsbedingungen|junger Mensch	Gesundheit|Straßenverkehr|Energie|Parlamentsdebatte|Preis|Sozialpolitik|Gesundheit	Exekutive|Öffentlicher Sektor|Verwaltungsorganisation|Behinderter|Bildung|Organisation des Unterrichtswesens
2022-07-07	Beschäftigung und Arbeitsbedingungen|junger Mensch|Politische Partei|Flüchtling|Betreuung von Pflegebedürftigen|Krankenpflege|soziale Sicherheit|Öffentliche Finanzen und Haushaltspolitik|Zivilschutz|Öffentliche Finanzen und Haushaltspolitik|Zivilschutz	Finanzwesen|Gesundheit|Politische Partei|Vereinsleben|Versammlungsfreiheit|Vereinsleben|Versammlungsfreiheit|Betreuung von Pflegebedürftigen|Krankenpflege|Öffentliche Finanzen und Haushaltspolitik|soziale Sicherheit	Gesundheit|Tiermedizin|Tierschutz	Verwaltungsrecht|Öffentliche Finanzen und Haushaltspolitik|Öffentliche Finanzen und Haushaltspolitik|Vereinsleben|Versammlungsfreiheit|Zivilschutz|Öffentliche Finanzen und Haushaltspolitik|Zivilschutz|Öffentliche Finanzen und Haushaltspolitik|Zivilschutz	Finanzwesen|Gesundheit|Politische Partei|Vereinsleben|Versammlungsfreiheit|Vereinsleben|Versammlungsfreiheit|Betreuung von Pflegebedürftigen|Krankenpflege|Öffentliche Finanzen und Haushaltspolitik|soziale Sicherheit
2022-07-08	Öffentliche Finanzen und Haushaltspolitik|Zivilschutz|Europäische Union|Familienleistungsausgleich|direkt gewählte Kammer|Zweite Kammer|direkt gewählte Kammer|Gesundheit|öffentliche Verwaltung|öffentlicher Dienst|Betreuung von Pflegebedürftigen|Krankenpflege|öffentliche Verwaltung|öffentlicher Dienst|Strafrecht|öffentliche Verwaltung|öffentlicher Dienst|Land- und Forstwirtschaft, Fischerei|Tiermedizin|Tierschutz|öffentliche Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|Europäische Union|Familienleistungsausgleich|Steuerwesen|Altersversorgungssystem|Beschäftigung und Arbeitsbedingungen|Einkommen|Familie|soziale Sicherheit|Verwaltung und Entlohnung des Personals|Steuerwesen|Tourismus	soziale Sicherheit|ethnische Gruppe|ethnische Gruppe|ausländischer Staatsangehöriger|ausländischer Staatsangehöriger|Beschäftigung und Arbeitsbedingungen|direkt gewählte Kammer|Zweite Kammer|Informatik|Information und Informationsverarbeitung|Vereinsleben|Versammlungsfreiheit|Familie	Gesundheit	Öffentliche Finanzen und Haushaltspolitik|Zivilschutz|Agrarerzeugnisse und Lebensmittel|Politik der Zusammenarbeit|direkt gewählte Kammer|Zweite Kammer|Agrarerzeugnisse und Lebensmittel|Politik der Zusammenarbeit|Schienentransport|Straßenverkehr|Bildung|Organisation des Unterrichtswesens|öffentliche Verwaltung|öffentlicher Dienst	soziale Sicherheit|ethnische Gruppe|ethnische Gruppe|ausländischer Staatsangehöriger|ausländischer Staatsangehöriger|Beschäftigung und Arbeitsbedingungen|direkt gewählte Kammer|Zweite Kammer|Informatik|Information und Informationsverarbeitung|Vereinsleben|Versammlungsfreiheit|Familie
2022-09-21	Elektrizitätsindustrie|Europäische Union|Preis|Finanzwesen|Frau|Gleichbehandlung|Einkommen|Verteidigung|Verwaltung und Entlohnung des Personals|Kulturpolitik|Kunst|Öffentliche Finanzen und Haushaltspolitik|soziale Sicherheit|Statistik|ausländischer Staatsangehöriger|Beschäftigung und Arbeitsbedingungen|Europäische Union|Gesundheit|Europäische Union|Währungsbeziehungen|Sport|Vereinsleben|Versammlungsfreiheit|Ausbildungsbeihilfe|Öffentliche Finanzen und Haushaltspolitik|vorschulische Erziehung|Europäische Union|Forschung und geistiges Eigentum|Wissenschaften|Energie|Handel|Industrie|Unternehmen und Wettbewerb|Hochschulausbildung|Hochschulausbildung|Bildung|Organisation des Unterrichtswesens|Kulturpolitik|Kunst|Land- und Forstwirtschaft, Fischerei|Vereinte Nationen|Finanzwesen|Handel|Industrie|Steuerwesen|Tourismus|Unternehmen und Wettbewerb|Internationale Beziehungen|partizipative Demokratie|Wirtschaft|Behinderter|Energie|Öffentliche Finanzen und Haushaltspolitik|Preis|Sozialpolitik|Abfall|Abfallwirtschaft|Handel|Industrie|Preis|Unternehmen und Wettbewerb|Land- und Forstwirtschaft, Fischerei|Öffentliche Finanzen und Haushaltspolitik|Exekutive|Misstrauensantrag|Exekutive|öffentliche Verwaltung|öffentlicher Dienst|Öffentliche Finanzen und Haushaltspolitik|Staatsangehöriger|Umwelt|Internationale Beziehungen|partizipative Demokratie|Wirtschaft|Altersversorgungssystem|soziale Sicherheit|Tabak|Wohnungspolitik|Europäische Union|Internationale Beziehungen|partizipative Demokratie|Wirtschaft|Gesundheit|Gliedstaat|Flüchtling|namentliche Abstimmung|Öffentliche Finanzen und Haushaltspolitik|Strafrecht|Umwelt|Europäische Union|Elektrizitätsindustrie|Preis	öffentliche Verwaltung|öffentlicher Dienst|soziale Sicherheit|Gesundheit|Informatik|Information und Informationsverarbeitung|soziale Sicherheit|Verfassung|Internationale Beziehungen|Menschenrechte|Religion|Altersversorgungssystem|öffentliche Verwaltung|öffentlicher Dienst|soziale Sicherheit|Energie|Preis|Sozialpolitik|Arbeitsrecht|Energie|Öffentliche Finanzen und Haushaltspolitik|öffentliche Verwaltung|öffentlicher Dienst|soziale Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|Verfassung|Elektrizitätsindustrie|Öffentliche Finanzen und Haushaltspolitik|Energie|Umwelt|Verfassung|Arbeitsrecht|Frau|Gleichbehandlung|Internationale Beziehungen|Menschenrechte	Handel|Industrie|Tourismus|Unternehmen und Wettbewerb|Umwelt|Energie|Umwelt|junger Mensch|Sport|Berufsverband|Handel|Industrie|Unternehmen und Wettbewerb|Steuerwesen|Wohnungspolitik|Einkommen|Steuerwesen|Verwaltung und Entlohnung des Personals|Arbeitsrecht|Handel|Industrie|Steuerwesen|Unternehmen und Wettbewerb|Straßenverkehr|Energie|Umwelt|Hochschulausbildung|vorschulische Erziehung|Umwelt|Verwaltungsrecht|Elektrizitätsindustrie|Arbeitsrecht|Familie|Familienleistungsausgleich|Frau|Gleichbehandlung|Öffentliche Finanzen und Haushaltspolitik|Presse|Energie|Umwelt|Bildung|Informatik|Information und Informationsverarbeitung|Organisation des Unterrichtswesens|Strafrecht|Presse|Energie|Umwelt|Europäische Union|Verteidigung|Europäische Union|Flüchtling|Einkommen|Steuerwesen|Verwaltung und Entlohnung des Personals|Arbeitsrecht|Handel|Industrie|Steuerwesen|Unternehmen und Wettbewerb|Agrarerzeugnisse und Lebensmittel|Steuerwesen|Verfassung|Verwaltungskontrolle|Wirtschaft|Kulturpolitik|Kunst	Tourismus|Energie|Preis|Sozialpolitik|Ausbildungsbeihilfe|junger Mensch|Kulturpolitik|Kunst|Öffentliche Finanzen und Haushaltspolitik|Sport|Familie|Land- und Forstwirtschaft, Fischerei|Öffentliche Finanzen und Haushaltspolitik|Tiermedizin|Tierschutz|Altersversorgungssystem|Betreuung von Pflegebedürftigen|Krankenpflege|Einkommen|öffentliche Verwaltung|öffentlicher Dienst|Steuerwesen|Verwaltung und Entlohnung des Personals|Gesundheit|Europäische Union|Internationale Beziehungen|Menschenrechte|Vereinsleben|Versammlungsfreiheit|Familienleistungsausgleich|Gesundheit|Einkommen|Familie|Verwaltung und Entlohnung des Personals|Land- und Forstwirtschaft, Fischerei|Öffentliche Finanzen und Haushaltspolitik|Tiermedizin|Tierschutz|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Familie|Handel|Industrie|Tourismus|Unternehmen und Wettbewerb|Bildung|Familienleistungsausgleich|Öffentliche Finanzen und Haushaltspolitik|Organisation des Unterrichtswesens|Staatswald|Umwelt|Arbeitsrecht|Betreuung von Pflegebedürftigen|Gesundheit|Krankenpflege|Gesundheit|Hochschulausbildung|Frau|Gleichbehandlung|Europäische Union|Luftverkehr|Bildung|Gesundheit|Organisation des Unterrichtswesens|Europäische Union|Internationale Beziehungen|Menschenrechte|Vereinsleben|Versammlungsfreiheit|Arbeitsrecht|Gesundheit|Handel|Industrie|Tourismus|Unternehmen und Wettbewerb|Forschung und geistiges Eigentum|Opferhilfe|Wissenschaften|Energie|Öffentliche Finanzen und Haushaltspolitik|Preis|Energie|Preis|Steuerwesen|Umwelt|Wirtschaft|Energie|Gliedstaat|Öffentliche Finanzen und Haushaltspolitik|Preis|Familie|vorschulische Erziehung	öffentliche Verwaltung|öffentlicher Dienst|soziale Sicherheit|Gesundheit|Informatik|Information und Informationsverarbeitung|soziale Sicherheit|Verfassung|Internationale Beziehungen|Menschenrechte|Religion|Altersversorgungssystem|öffentliche Verwaltung|öffentlicher Dienst|soziale Sicherheit|Energie|Preis|Sozialpolitik|Arbeitsrecht|Energie|Öffentliche Finanzen und Haushaltspolitik|öffentliche Verwaltung|öffentlicher Dienst|soziale Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|Verfassung|Elektrizitätsindustrie|Öffentliche Finanzen und Haushaltspolitik|Energie|Umwelt|Verfassung|Arbeitsrecht|Frau|Gleichbehandlung|Internationale Beziehungen|Menschenrechte
2022-10-03		Handel|Industrie|Unternehmen und Wettbewerb|Europäische Union|Internationale Beziehungen|Menschenrechte|Völkerrecht|Gesundheit|Wirtschaft|Finanzwesen		Beschäftigung und Arbeitsbedingungen|Bildung|Öffentliche Finanzen und Haushaltspolitik|Organisation des Unterrichtswesens|Frau|Gleichbehandlung|Internationale Beziehungen|Menschenrechte|Ausbildungsbeihilfe|Wohnungspolitik|Erwachsenenbildung|Informatik|Information und Informationsverarbeitung|Erwachsenenbildung|Informatik|Information und Informationsverarbeitung|Bildung|junger Mensch|Kulturpolitik|Kunst|Öffentliche Finanzen und Haushaltspolitik|Organisation des Unterrichtswesens|Sport	Handel|Industrie|Unternehmen und Wettbewerb|Europäische Union|Internationale Beziehungen|Menschenrechte|Völkerrecht|Gesundheit|Wirtschaft|Finanzwesen
2022-10-04	Flüchtling|Grenze|Internationale Beziehungen	Energie|Europäische Union|Internationale Beziehungen	Energie|Europäische Union|Internationale Beziehungen		Energie|Europäische Union|Internationale Beziehungen
2022-10-10	Einkommen|Verteidigung|Verwaltung und Entlohnung des Personals|Neutralität	Verteidigung|Einkommen|Verteidigung|Verwaltung und Entlohnung des Personals|Neutralität	Verteidigung|Einkommen|Verteidigung|Verwaltung und Entlohnung des Personals|Neutralität	Verteidigung|Einkommen|Verteidigung|Verwaltung und Entlohnung des Personals|Neutralität	Verteidigung|Einkommen|Verteidigung|Verwaltung und Entlohnung des Personals|Neutralität
2022-10-12	Bergbau|Informatik|Information und Informationsverarbeitung|Strafrecht|Behinderter|Energie|Handel|Industrie|Straßenverkehr|Unternehmen und Wettbewerb|Straßenverkehr	Gesundheit|Familie|Tourismus|Europäische Union|Handel|Industrie|Umwelt|Unternehmen und Wettbewerb|Exekutive|Frau|Gleichbehandlung|öffentliche Sicherheit|Presse|Frau|Gesundheit|Gleichbehandlung|Statistik	Gesundheit|Straßenverkehr|Europäische Union|Internationale Beziehungen|Wirtschaft|Ausweis|Internationale Beziehungen|Internationale Beziehungen|Sport|Wirtschaft|Veröffentlichung des Gesetzes|Europäische Union|Wirtschaft|Öffentliche Finanzen und Haushaltspolitik|Einkommen|Steuerwesen|Verwaltung und Entlohnung des Personals|Informatik|Information und Informationsverarbeitung|Tourismus|Exekutive|Öffentliche Finanzen und Haushaltspolitik|Behinderter|Berufsverband	Beschäftigung und Arbeitsbedingungen|Familie|Sozialpolitik|junger Mensch|Sozialpolitik|Gesundheit|Ausweis|Familienleistungsausgleich|Frau|Gesundheit|Gleichbehandlung|Ausweis|Familienleistungsausgleich|Frau|Gesundheit|Gleichbehandlung|Frau|Gleichbehandlung|Öffentliche Finanzen und Haushaltspolitik|Frau|Gleichbehandlung|Öffentliche Finanzen und Haushaltspolitik|Politik der Zusammenarbeit|Behinderter|Öffentliche Finanzen und Haushaltspolitik|Wasser|Wasserbewirtschaftung|Zivilschutz|Kulturpolitik|Kunst|Öffentliche Finanzen und Haushaltspolitik|Agrarerzeugnisse und Lebensmittel|Bildung|Organisation des Unterrichtswesens|vorschulische Erziehung	Gesundheit|Familie|Tourismus|Europäische Union|Handel|Industrie|Umwelt|Unternehmen und Wettbewerb|Exekutive|Frau|Gleichbehandlung|öffentliche Sicherheit|Presse|Frau|Gesundheit|Gleichbehandlung|Statistik
2022-10-13	Gesundheit|Strafrecht|Europäische Union|Grenze|Internationale Beziehungen|Tourismus|Energie|Handel|Industrie|Tabak|Unternehmen und Wettbewerb|Gesundheit|Agrarerzeugnisse und Lebensmittel|Europäische Union|Land- und Forstwirtschaft, Fischerei|soziale Sicherheit|Steuerwesen|Preis|Sozialpolitik	Handel|Industrie|Informatik|Information und Informationsverarbeitung|Unternehmen und Wettbewerb|Steuerwesen|Umwelt|Verfassung	Flüchtling|Verkehr|Internationale Beziehungen|Sport|Wirtschaft|Flüchtling|Steuerwesen|Wohnungspolitik|Flüchtling|Gliedstaat|Flüchtling|Verwaltungsrecht	Forschung und geistiges Eigentum|Öffentliche Finanzen und Haushaltspolitik|Wissenschaften|Land- und Forstwirtschaft, Fischerei|Steuerwesen|Straßenverkehr|Tiermedizin|Tierschutz|Tiermedizin|Tierschutz|Internet|Ausweis|Gesundheit|soziale Sicherheit|Forschung und geistiges Eigentum|Öffentliche Finanzen und Haushaltspolitik|Wissenschaften|Verfassung	Handel|Industrie|Informatik|Information und Informationsverarbeitung|Unternehmen und Wettbewerb|Steuerwesen|Umwelt|Verfassung
2022-10-19		Strafrecht			Strafrecht
2022-11-02	Behinderter|Energie|Öffentliche Finanzen und Haushaltspolitik|Preis|Sozialpolitik|Elektrizitätsindustrie|Energie|Agrarerzeugnisse und Lebensmittel|Behinderter|Energie|Öffentliche Finanzen und Haushaltspolitik|Preis|Sozialpolitik|Internationale Beziehungen|Sport|Agrarerzeugnisse und Lebensmittel|Gesetzgebungsverfahren|Zusammensetzung des Parlaments|Elektrizitätsindustrie|Energie|Betreuung von Pflegebedürftigen|Krankenpflege|soziale Sicherheit|Betreuung von Pflegebedürftigen|Krankenpflege|soziale Sicherheit|Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb|Exekutive|Misstrauensantrag|Politische Partei		direkt gewählte Kammer	direkt gewählte Kammer|Exekutive|Parlamentsdebatte|Strafrecht	
